用户id,最后一周登录天数,最后一周登录次数,最后一周0.8点登录次数,最后一周8.18点登录次数,最后一周18.24点登录次数,注册至今距离天数,是否付费
1000117260,5,7,2,3,2,17,0
1000117261,2,8,2,4,2,19,0
1000117262,3,7,3,1,3,19,0
1000117263,1,8,2,4,2,10,0
1000117264,2,6,2,3,1,17,0
1000117265,5,7,3,2,2,18,0
1000117266,3,5,1,3,1,9,0
1000117267,1,4,2,1,1,10,1
1000117268,6,8,3,4,1,16,1
1000117269,6,3,1,1,1,17,1
1000117270,3,10,3,4,3,10,1
1000117271,5,4,1,2,1,10,1
1000117272,6,3,1,1,1,20,1
1000117273,2,7,2,4,1,14,1
1000117274,1,3,1,1,1,5,0
1000117275,1,8,2,3,3,5,0
1000117276,5,5,3,1,1,2,0
1000117277,3,6,2,3,1,1,1
1000117278,2,6,2,3,1,12,1
1000117279,5,7,2,4,1,14,0
1000117280,4,7,3,2,2,1,1
1000117281,1,6,2,1,3,6,0
1000117282,5,5,3,1,1,8,1
1000117283,5,5,2,2,1,20,1
1000117284,1,8,3,3,2,4,0
1000117285,3,7,3,1,3,13,1
1000117286,5,8,3,3,2,15,0
1000117287,6,6,1,4,1,11,1
1000117288,6,6,3,1,2,13,1
1000117289,4,7,2,4,1,1,0
1000117290,3,7,2,3,2,3,0
1000117291,5,4,2,1,1,1,0
1000117292,4,8,3,4,1,15,1
1000117293,5,5,2,2,1,9,1
1000117294,1,7,1,4,2,10,1
1000117295,3,7,2,3,2,4,1
1000117296,2,4,1,1,2,8,1
1000117297,5,7,1,3,3,2,1
1000117298,1,10,3,4,3,3,1
1000117299,1,7,1,4,2,16,1
1000117300,3,7,3,1,3,20,1
1000117301,2,6,2,2,2,4,1
1000117302,6,8,2,3,3,3,1
1000117303,3,9,3,4,2,15,0
1000117304,2,7,2,2,3,11,0
1000117305,2,6,1,2,3,20,0
1000117306,4,5,1,2,2,14,0
1000117307,3,10,3,4,3,13,0
1000117308,2,7,1,3,3,8,0
1000117309,1,6,3,2,1,13,0
1000117310,1,6,3,2,1,6,0
1000117311,4,9,3,3,3,9,0
1000117312,2,4,1,2,1,11,0
1000117313,5,6,1,2,3,18,0
1000117314,3,8,2,4,2,6,0
1000117315,5,6,1,2,3,18,0
1000117316,6,7,2,4,1,13,0
1000117317,1,6,1,2,3,4,0
1000117318,3,4,1,1,2,8,0
1000117319,2,5,1,2,2,10,0
1000117320,3,5,1,1,3,19,0
1000117321,6,8,3,3,2,20,0
1000117322,6,8,3,2,3,20,0
1000117323,1,8,3,2,3,17,0
1000117324,5,5,2,2,1,16,0
1000117325,5,9,3,3,3,17,0
1000117326,4,7,1,3,3,5,0
1000117327,2,8,2,3,3,9,0
1000117328,1,4,2,1,1,14,0
1000117329,4,6,1,4,1,14,0
1000117330,1,5,1,1,3,17,0
1000117331,6,6,1,4,1,14,0
1000117332,5,6,1,4,1,2,0
1000117333,4,6,3,1,2,16,0
1000117334,6,8,3,4,1,19,0
1000117335,5,6,1,4,1,16,0
1000117336,2,6,1,3,2,13,0
1000117337,4,7,2,4,1,5,0
1000117338,3,7,1,3,3,3,0
1000117339,1,8,2,3,3,7,0
1000117340,3,8,3,4,1,13,0
1000117341,3,7,2,3,2,12,0
1000117342,6,7,2,4,1,1,0
1000117343,3,8,2,3,3,9,0
1000117344,3,5,2,1,2,19,0
1000117345,1,7,3,2,2,5,0
1000117346,6,7,1,4,2,18,0
1000117347,4,5,1,1,3,19,0
1000117348,1,9,3,4,2,20,0
1000117349,2,8,3,4,1,19,0
1000117350,3,6,3,2,1,11,0
1000117351,4,5,3,1,1,18,0
1000117352,2,4,2,1,1,14,0
1000117353,2,5,1,3,1,18,0
1000117354,1,6,2,1,3,17,0
1000117355,5,5,1,1,3,19,0
1000117356,6,5,1,1,3,1,0
1000117357,2,7,3,2,2,14,0
1000117358,4,8,2,3,3,2,0
1000117359,6,6,3,1,2,5,0
1000117360,3,8,2,4,2,19,0
1000117361,5,4,1,2,1,5,0
1000117362,4,6,3,2,1,20,0
1000117363,1,5,1,1,3,2,0
1000117364,3,3,1,1,1,9,0
1000117365,3,5,1,2,2,12,0
1000117366,2,5,1,2,2,4,0
1000117367,5,7,3,3,1,1,0
1000117368,6,8,2,4,2,10,0
1000117369,5,6,2,1,3,17,0
1000117370,2,4,1,1,2,12,0
1000117371,2,5,3,1,1,15,0
1000117372,3,7,3,1,3,6,0
1000117373,6,9,2,4,3,13,0
1000117374,3,5,1,1,3,12,0
1000117375,2,9,3,4,2,12,0
1000117376,6,7,3,3,1,4,0
1000117377,5,5,1,1,3,19,0
1000117378,4,5,1,1,3,2,0
1000117379,5,9,3,4,2,3,0
1000117380,6,4,2,1,1,14,0
1000117381,5,3,1,1,1,12,0
1000117382,5,7,2,4,1,9,0
1000117383,1,5,1,2,2,9,0
1000117384,2,6,1,3,2,19,0
1000117385,2,4,2,1,1,11,0
1000117386,5,9,3,4,2,5,0
1000117387,5,5,2,1,2,4,0
1000117388,3,6,3,2,1,12,0
1000117389,6,4,2,1,1,16,0
1000117390,3,7,1,4,2,14,0
1000117391,3,5,2,1,2,13,0
1000117392,6,10,3,4,3,7,0
1000117393,2,4,1,1,2,7,0
1000117394,1,7,3,1,3,12,0
1000117395,6,6,1,4,1,10,0
1000117396,2,7,3,3,1,8,0
1000117397,1,8,2,4,2,16,0
1000117398,5,9,3,4,2,1,0
